name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
kid emotion, (new earth),\/wiki\/kid_emotion_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,1,"1998, february",1998,
manx, (new earth),\/wiki\/manx_(new_earth),secret identity,good characters,,,female characters,,deceased characters,1,"1998, july",1998,
michael patten, (new earth),\/wiki\/michael_patten_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,1,"1998, october",1998,
mister action, (new earth),\/wiki\/mister_action_(new_earth),secret identity,good characters,,black hair,male characters,,deceased characters,1,"1998, july",1998,
peter malley, (new earth),\/wiki\/peter_malley_(new_earth),secret identity,bad characters,black eyes,,male characters,,living characters,1,"1998, january",1998,
phantos, (new earth),\/wiki\/phantos_(new_earth),,good characters,red eyes,,,,deceased characters,1,"1998, december",1998,
pom pom girl, (new earth),\/wiki\/pom_pom_girl_(new_earth),secret identity,bad characters,,blond hair,female characters,,living characters,1,"1998, may",1998,
prom queen, (new earth),\/wiki\/prom_queen_(new_earth),secret identity,bad characters,brown eyes,black hair,female characters,,living characters,1,"1998, may",1998,
radiant ii, (new earth),\/wiki\/radiant_ii_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1998, may",1998,
retro, (new earth),\/wiki\/retro_(new_earth),secret identity,good characters,,blond hair,male characters,,deceased characters,1,"1998, february",1998,
rip roar, (new earth),\/wiki\/rip_roar_(new_earth),public identity,bad characters,red eyes,strawberry blond hair,male characters,,living characters,1,"1998, october",1998,
robert smith, (new earth),\/wiki\/robert_smith_(new_earth),,good characters,,grey hair,male characters,,living characters,1,"1998, february",1998,
sharpe, (new earth),\/wiki\/sharpe_(new_earth),,bad characters,,,male characters,,living characters,1,"1998, may",1998,
simone, (new earth),\/wiki\/simone_(new_earth),,,,,female characters,,living characters,1,"1998, september",1998,
song bird, (new earth),\/wiki\/song_bird_(new_earth),secret identity,good characters,,black hair,female characters,,deceased characters,1,"1998, july",1998,
termina, (new earth),\/wiki\/termina_(new_earth),,bad characters,,,female characters,,deceased characters,1,"1998, june",1998,
thaddeus hoskins, (new earth),\/wiki\/thaddeus_hoskins_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1998, december",1998,
3g4, (new earth),\/wiki\/3g4_(new_earth),,good characters,,,male characters,,deceased characters,1,"1997, october",1997,
aimee dewitt, (new earth),\/wiki\/aimee_dewitt_(new_earth),public identity,,,brown hair,female characters,,living characters,1,"1997, july",1997,
althesia, (new earth),\/wiki\/althesia_(new_earth),,good characters,,brown hair,female characters,,living characters,1,"1997, july",1997,
andrea martinez, (new earth),\/wiki\/andrea_martinez_(new_earth),public identity,good characters,,,male characters,,living characters,1,"1997, october",1997,
andrew mcfee, (new earth),\/wiki\/andrew_mcfee_(new_earth),secret identity,bad characters,,red hair,male characters,,deceased characters,1,"1997, october",1997,
ariadne of the blue guard, (new earth),\/wiki\/ariadne_of_the_blue_guard_(new_earth),,good characters,blue eyes,black hair,female characters,,deceased characters,1,"1997, july",1997,
awol, (new earth),\/wiki\/awol_(new_earth),secret identity,bad characters,,black hair,male characters,,living characters,1,"1997, march",1997,
bloodhound, (new earth),\/wiki\/bloodhound_(new_earth),,bad characters,,black hair,male characters,,living characters,1,"1997, march",1997,
david mancini, (new earth),\/wiki\/david_mancini_(new_earth),secret identity,bad characters,blue eyes,blond hair,male characters,,deceased characters,1,1997,1997,
deathgrip, (new earth),\/wiki\/deathgrip_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, march",1997,
dell merriwether, (new earth),\/wiki\/dell_merriwether_(new_earth),,bad characters,,,male characters,,deceased characters,1,"1997, october",1997,
donald sullivan, (new earth),\/wiki\/donald_sullivan_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1997, january",1997,
earl povich, (new earth),\/wiki\/earl_povich_(new_earth),,bad characters,blue eyes,black hair,male characters,,living characters,1,1997,1997,
fangg, (post-zero hour),\/wiki\/fangg_(post-zero_hour),,bad characters,,,male characters,,living characters,1,"1997, june",1997,
franklin pierce, (new earth),\/wiki\/franklin_pierce_(new_earth),,good characters,,black hair,male characters,,living characters,1,"1997, september",1997,
hannibal hawk, (new earth),\/wiki\/hannibal_hawk_(new_earth),public identity,good characters,,black hair,male characters,,living characters,1,1997,1997,
hathak, (new earth),\/wiki\/hathak_(new_earth),public identity,bad characters,,black hair,male characters,,deceased characters,1,"1997, december",1997,
hector ramirez, (new earth),\/wiki\/hector_ramirez_(new_earth),secret identity,good characters,,,male characters,,deceased characters,1,"1997, april",1997,
hoppy, (new earth),\/wiki\/hoppy_(new_earth),secret identity,good characters,blue eyes,pink hair,male characters,,living characters,1,"1997, august",1997,
inkling, (new earth),\/wiki\/inkling_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, october",1997,
isaac fisher, (new earth),\/wiki\/isaac_fisher_(new_earth),public identity,bad characters,brown eyes,black hair,male characters,,living characters,1,"1997, may",1997,
jasper dolan, (new earth),\/wiki\/jasper_dolan_(new_earth),public identity,neutral characters,blue eyes,grey hair,male characters,,deceased characters,1,"1997, september",1997,
jimmy murphy, (new earth),\/wiki\/jimmy_murphy_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1997, january",1997,
kevin kelly, (new earth),\/wiki\/kevin_kelly_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1997, january",1997,
luca mareli, (new earth),\/wiki\/luca_mareli_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1997, february",1997,
mawu, (new earth),\/wiki\/mawu_(new_earth),public identity,neutral characters,brown eyes,black hair,female characters,,living characters,1,"1997, october",1997,
mickey sullivan, (new earth),\/wiki\/mickey_sullivan_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1997, january",1997,
millie, (new earth),\/wiki\/millie_(new_earth),public identity,good characters,blue eyes,pink hair,female characters,,living characters,1,"1997, august",1997,
mister finish, (new earth),\/wiki\/mister_finish_(new_earth),secret identity,bad characters,red eyes,brown hair,male characters,,living characters,1,"1997, september",1997,
mister frost, (new earth),\/wiki\/mister_frost_(new_earth),,bad characters,red eyes,white hair,male characters,,living characters,1,"1997, march",1997,
nikolai karpov, (new earth),\/wiki\/nikolai_karpov_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, march",1997,
ohiyesa ii, (new earth),\/wiki\/ohiyesa_ii_(new_earth),public identity,good characters,,black hair,male characters,,living characters,1,1997,1997,
output, (new earth),\/wiki\/output_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, september",1997,
override, (new earth),\/wiki\/override_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, september",1997,
peter ostine, (new earth),\/wiki\/peter_ostine_(new_earth),,bad characters,brown eyes,brown hair,male characters,,deceased characters,1,"1997, february",1997,
richard malverne, (new earth),\/wiki\/richard_malverne_(new_earth),public identity,neutral characters,blue eyes,red hair,male characters,,deceased characters,1,"1997, january",1997,
rockslide, (post-zero hour),\/wiki\/rockslide_(post-zero_hour),,bad characters,,,male characters,,living characters,1,"1997, june",1997,
scareware, (new earth),\/wiki\/scareware_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, june",1997,
sergeant mack, (new earth),\/wiki\/sergeant_mack_(new_earth),,good characters,blue eyes,,male characters,,living characters,1,"1997, december",1997,
silas kent, (new earth),\/wiki\/silas_kent_(new_earth),public identity,good characters,,white hair,male characters,,deceased characters,1,"1997, august",1997,
tattoo ii, (new earth),\/wiki\/tattoo_ii_(new_earth),,bad characters,,blond hair,female characters,,living characters,1,"1997, march",1997,
topkick, (new earth),\/wiki\/topkick_(new_earth),,bad characters,,,male characters,,living characters,1,"1997, october",1997,
twilight ii, (new earth),\/wiki\/twilight_ii_(new_earth),secret identity,bad characters,blue eyes,white hair,female characters,homosexual characters,living characters,1,"1997, november",1997,
vincent falcone, (new earth),\/wiki\/vincent_falcone_(new_earth),public identity,bad characters,,grey hair,male characters,,living characters,1,"1997, august",1997,
ace of clubs, (new earth),\/wiki\/ace_of_clubs_(arcana)_(new_earth),secret identity,bad characters,,black hair,male characters,,deceased characters,1,"1996, august",1996,
ace of diamonds, (new earth),\/wiki\/ace_of_diamonds_(arcana)_(new_earth),secret identity,bad characters,,brown hair,male characters,,deceased characters,1,"1996, august",1996,
ace of hearts, (new earth),\/wiki\/ace_of_hearts_(arcana)_(new_earth),secret identity,bad characters,,grey hair,female characters,,deceased characters,1,"1996, august",1996,
arashi ohashi, (new earth),\/wiki\/arashi_ohashi_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,,living characters,1,"1996, december",1996,
bloodtype, (new earth),\/wiki\/bloodtype_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,1,"1996, august",1996,
cockatoo, (new earth),\/wiki\/cockatoo_(new_earth),,bad characters,,,female characters,,deceased characters,1,"1996, april",1996,
curtis falconer, (new earth),\/wiki\/curtis_falconer_(new_earth),,bad characters,,brown hair,male characters,,deceased characters,1,"1996, august",1996,
darkstorm, (new earth),\/wiki\/darkstorm_(new_earth),,bad characters,,,male characters,,deceased characters,1,"1996, april",1996,
eckstein, (new earth),\/wiki\/eckstein_(new_earth),,bad characters,,,male characters,,living characters,1,"1996, march",1996,
fong, (new earth),\/wiki\/fong_(new_earth),public identity,bad characters,,black hair,male characters,,deceased characters,1,"1996, march",1996,
ironbolt, (new earth),\/wiki\/ironbolt_(new_earth),secret identity,bad characters,,red hair,male characters,,deceased characters,1,"1996, april",1996,
karrion, (new earth),\/wiki\/karrion_(new_earth),,bad characters,,,male characters,,living characters,1,"1996, january",1996,
michael adams, (new earth),\/wiki\/michael_adams_(new_earth),,,,,male characters,,living characters,1,"1996, october",1996,
mindy falconer, (new earth),\/wiki\/mindy_falconer_(new_earth),public identity,bad characters,,brown hair,female characters,,deceased characters,1,"1996, september",1996,
mink, (new earth),\/wiki\/mink_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,1,"1996, april",1996,
myst, (new earth),\/wiki\/myst_(new_earth),secret identity,good characters,,black hair,female characters,,living characters,1,"1996, august",1996,
panzer, (new earth),\/wiki\/panzer_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,1,"1996, april",1996,
phillipe mouton, (new earth),\/wiki\/phillipe_mouton_(new_earth),public identity,bad characters,,,male characters,,living characters,1,"1996, november",1996,
poltergeist, (new earth),\/wiki\/poltergeist_(new_earth),,bad characters,blue eyes,black hair,male characters,,living characters,1,"1996, december",1996,
richard daniel, (new earth),\/wiki\/richard_daniel_(new_earth),public identity,bad characters,blue eyes,brown hair,male characters,,deceased characters,1,"1996, december",1996,
richard dunston, (new earth),\/wiki\/richard_dunston_(new_earth),,bad characters,,red hair,male characters,,deceased characters,1,"1996, august",1996,
tarant, (new earth),\/wiki\/tarant_(new_earth),public identity,good characters,,,male characters,,living characters,1,"1996, august",1996,
thrax, (new earth),\/wiki\/thrax_(new_earth),,neutral characters,,,male characters,,deceased characters,1,"1996, march",1996,
wallace johnson, (new earth),\/wiki\/wallace_johnson_(new_earth),,good characters,brown eyes,black hair,male characters,,living characters,1,"1996, december",1996,
wardog, (new earth),\/wiki\/wardog_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1996, january",1996,
abner girdler, (new earth),\/wiki\/abner_girdler_(new_earth),public identity,bad characters,,brown hair,male characters,,living characters,1,"1995, october",1995,
ace of spades, (new earth),\/wiki\/ace_of_spades_(arcana)_(new_earth),secret identity,bad characters,,blond hair,male characters,,deceased characters,1,"1995, july",1995,
adrian wentworth, (new earth),\/wiki\/adrian_wentworth_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1995, december",1995,
adrian zapruder, (new earth),\/wiki\/adrian_zapruder_(new_earth),public identity,neutral characters,,white hair,male characters,,living characters,1,"1995, march",1995,
buna, (new earth),\/wiki\/buna_(new_earth),public identity,,blue eyes,black hair,female characters,,living characters,1,"1995, september",1995,
chillblaine iii, (new earth),\/wiki\/chillblaine_iii_(new_earth),secret identity,bad characters,blue eyes,brown hair,male characters,,living characters,1,"1995, january",1995,
clay irons, (new earth),\/wiki\/clay_irons_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,1,1995,1995,
doctor spectron, (new earth),\/wiki\/doctor_spectron_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1995, november",1995,
duality, (new earth),\/wiki\/duality_(new_earth),public identity,bad characters,,,male characters,,living characters,1,"1995, may",1995,
firebomb, (new earth),\/wiki\/firebomb_(new_earth),,bad characters,,,male characters,,living characters,1,"1995, april",1995,
gaia, (new earth),\/wiki\/gaia_(new_earth),,good characters,,,female characters,,living characters,1,"1995, february",1995,
herbert johnson, (new earth),\/wiki\/herbert_johnson_(new_earth),,bad characters,,black hair,male characters,,living characters,1,"1995, august",1995,
indigo, (new earth),\/wiki\/indigo_(new_earth),secret identity,good characters,,black hair,male characters,,living characters,1,"1995, july",1995,
kalibre, (new earth),\/wiki\/kalibre_(new_earth),,neutral characters,blue eyes,black hair,male characters,,living characters,1,"1995, september",1995,
killrok, (new earth),\/wiki\/killrok_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1995, june",1995,
lighter man, (new earth),\/wiki\/lighter_man_(new_earth),secret identity,bad characters,,black hair,male characters,,deceased characters,1,"1995, april",1995,
master mayhem, (new earth),\/wiki\/master_mayhem_(new_earth),,bad characters,,,male characters,,deceased characters,1,1995,1995,
miles duncan, (new earth),\/wiki\/miles_duncan_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,1,"1995, may",1995,
mountain man, (new earth),\/wiki\/mountain_man_(new_earth),,bad characters,,brown hair,male characters,,living characters,1,"1995, february",1995,
mourn, (new earth),\/wiki\/mourn_(new_earth),,bad characters,,,male characters,,living characters,1,"1995, november",1995,
onassis sklar, (new earth),\/wiki\/onassis_sklar_(new_earth),,,,brown hair,male characters,,living characters,1,"1995, june",1995,
percival pill, (new earth),\/wiki\/percival_pill_(new_earth),public identity,good characters,black eyes,black hair,male characters,,living characters,1,"1995, may",1995,
pierce i, (new earth),\/wiki\/pierce_i_(new_earth),secret identity,bad characters,brown eyes,brown hair,female characters,,living characters,1,1995,1995,
piton i, (new earth),\/wiki\/piton_i_(new_earth),,bad characters,,blond hair,female characters,,living characters,1,"1995, february",1995,
prince inferno, (new earth),\/wiki\/prince_inferno_(new_earth),,bad characters,,,male characters,,living characters,1,"1995, july",1995,
steven kernahan, (new earth),\/wiki\/steven_kernahan_(new_earth),,bad characters,blue eyes,brown hair,male characters,,deceased characters,1,"1995, october",1995,
thomas raymond chatham, (new earth),\/wiki\/thomas_raymond_chatham_(new_earth),public identity,,green eyes,brown hair,male characters,,deceased characters,1,"1995, july",1995,
backstabber, (new earth),\/wiki\/backstabber_(new_earth),secret identity,bad characters,blue eyes,brown hair,male characters,,living characters,1,"1994, april",1994,
blowout, (new earth),\/wiki\/blowout_(new_earth),secret identity,bad characters,,black hair,male characters,,deceased characters,1,"1994, december",1994,
braka, (new earth),\/wiki\/braka_(new_earth),,good characters,,,female characters,,living characters,1,"1994, september",1994,
chillblaine ii, (new earth),\/wiki\/chillblaine_ii_(new_earth),secret identity,bad characters,,brown hair,male characters,,living characters,1,"1994, march",1994,
daniel paoulo, (new earth),\/wiki\/daniel_paoulo_(new_earth),secret identity,bad characters,,brown hair,male characters,,deceased characters,1,"1994, may",1994,
druu, (new earth),\/wiki\/druu_(new_earth),public identity,good characters,,green hair,male characters,,living characters,1,"1994, october",1994,
firepower, (new earth),\/wiki\/firepower_(new_earth),,bad characters,,,male characters,,living characters,1,"1994, may",1994,
freelance, (new earth),\/wiki\/freelance_(new_earth),,bad characters,,black hair,male characters,,living characters,1,"1994, december",1994,
helen, (new earth),\/wiki\/helen_(new_earth),,good characters,,brown hair,female characters,,living characters,1,"1994, september",1994,
hotspot, (new earth),\/wiki\/hotspot_(new_earth),secret identity,bad characters,,,female characters,,living characters,1,"1994, september",1994,
jocasta of themyscira, (new earth),\/wiki\/jocasta_of_themyscira_(new_earth),,good characters,,black hair,female characters,,living characters,1,"1994, september",1994,
kkrudd, (new earth),\/wiki\/kkrudd_(new_earth),,bad characters,,brown hair,male characters,,deceased characters,1,"1994, march",1994,
lartys, (new earth),\/wiki\/lartys_(new_earth),,good characters,,,female characters,,living characters,1,"1994, september",1994,
mala of bana-mighdall, (new earth),\/wiki\/mala_of_bana-mighdall_(new_earth),,good characters,blue eyes,brown hair,female characters,,living characters,1,"1994, october",1994,
mark armstrong, (new earth),\/wiki\/mark_armstrong_(new_earth),,good characters,green eyes,brown hair,male characters,,living characters,1,"1994, december",1994,
mary harper, (new earth),\/wiki\/mary_harper_(new_earth),public identity,good characters,,grey hair,female characters,,deceased characters,1,"1994, november",1994,
merritz, (new earth),\/wiki\/merritz_(new_earth),public identity,bad characters,,red hair,male characters,,deceased characters,1,"1994, may",1994,
nera, (new earth),\/wiki\/nera_(new_earth),,good characters,,,,,living characters,1,"1994, january",1994,
ohm, (new earth),\/wiki\/ohm_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1994, may",1994,
patrice, (new earth),\/wiki\/patrice_(new_earth),,good characters,,,female characters,,living characters,1,"1994, december",1994,
penelope ii, (new earth),\/wiki\/penelope_ii_(new_earth),,good characters,,blond hair,female characters,,living characters,1,"1994, november",1994,
phantom barber, (new earth),\/wiki\/phantom_barber_(new_earth),,bad characters,,,male characters,,living characters,1,"1994, april",1994,
plasma, (new earth),\/wiki\/plasma_(new_earth),,bad characters,,,male characters,,living characters,1,"1994, june",1994,
quake, (new earth),\/wiki\/quake_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1994, september",1994,
salvo, (new earth),\/wiki\/salvo_(new_earth),,bad characters,,blond hair,male characters,,living characters,1,"1994, april",1994,
shellgame, (new earth),\/wiki\/shellgame_(new_earth),secret identity,bad characters,blue eyes,black hair,female characters,,living characters,1,"1994, september",1994,
stiletta, (new earth),\/wiki\/stiletta_(new_earth),secret identity,bad characters,green eyes,brown hair,female characters,,living characters,1,"1994, september",1994,
trigona, (new earth),\/wiki\/trigona_(new_earth),,good characters,,brown hair,female characters,,living characters,1,"1994, october",1994,
wildman, (new earth),\/wiki\/wildman_(new_earth),secret identity,bad characters,,black hair,male characters,,living characters,1,"1994, february",1994,
billy the girl, (new earth),\/wiki\/billy_the_girl_(new_earth),,good characters,,brown hair,female characters,,living characters,1,"1993, december",1993,
bloodthirst, (new earth),\/wiki\/bloodthirst_(new_earth),secret identity,bad characters,white eyes,,male characters,,living characters,1,"1993, november",1993,
bludhound, (new earth),\/wiki\/bludhound_(new_earth),public identity,bad characters,,blond hair,male characters,,deceased characters,1,"1993, december",1993,
chumpp, (new earth),\/wiki\/chumpp_(new_earth),,bad characters,,,male characters,,deceased characters,1,1993,1993,
codpiece, (new earth),\/wiki\/codpiece_(new_earth),secret identity,bad characters,,brown hair,male characters,,living characters,1,"1993, september",1993,
epernix, (new earth),\/wiki\/epernix_(new_earth),public identity,good characters,,,male characters,,deceased characters,1,"1993, august",1993,
galaxa, (new earth),\/wiki\/galaxa_(new_earth),,bad characters,,,female characters,,living characters,1,"1993, april",1993,
hardknox, (new earth),\/wiki\/hardknox_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1993, december",1993,
harry kent, (new earth),\/wiki\/harry_kent_(new_earth),,,,brown hair,male characters,,deceased characters,1,"1993, june",1993,
janissary, (new earth),\/wiki\/janissary_(new_earth),,bad characters,,brown hair,male characters,,living characters,1,"1993, may",1993,
jesus valdez, (new earth),\/wiki\/jesus_valdez_(new_earth),public identity,bad characters,,black hair,male characters,,deceased characters,1,"1993, july",1993,
luke hames, (new earth),\/wiki\/luke_hames_(new_earth),,good characters,blue eyes,blond hair,male characters,,living characters,1,1993,1993,
marauder i, (new earth),\/wiki\/marauder_i_(new_earth),secret identity,bad characters,green eyes,red hair,female characters,,deceased characters,1,"1993, october",1993,
michael wasco, (new earth),\/wiki\/michael_wasco_(new_earth),secret identity,good characters,,black hair,male characters,,deceased characters,1,1993,1993,
perry dennison, (new earth),\/wiki\/perry_dennison_(new_earth),secret identity,bad characters,black eyes,black hair,male characters,,living characters,1,1993,1993,
rayyana, (new earth),\/wiki\/rayyana_(new_earth),public identity,good characters,,,female characters,,deceased characters,1,"1993, august",1993,
robert heavington dubelz, (new earth),\/wiki\/robert_heavington_dubelz_(new_earth),,bad characters,,,male characters,,deceased characters,1,1993,1993,
selaya, (new earth),\/wiki\/selaya_(new_earth),,good characters,,,female characters,,deceased characters,1,"1993, december",1993,
timothy miller, (new earth),\/wiki\/timothy_miller_(new_earth),,bad characters,,black hair,male characters,,living characters,1,"1993, june",1993,
tuprolix, (new earth),\/wiki\/tuprolix_(new_earth),public identity,good characters,,,male characters,,deceased characters,1,"1993, august",1993,
aaron babcock, (new earth),\/wiki\/aaron_babcock_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1992, march",1992,
archibald tipple, (new earth),\/wiki\/archibald_tipple_(new_earth),,bad characters,,black hair,male characters,,living characters,1,"1992, april",1992,
chillblaine i, (new earth),\/wiki\/chillblaine_i_(new_earth),secret identity,bad characters,,brown hair,male characters,,deceased characters,1,1992,1992,
darthartheen, (new earth),\/wiki\/darthartheen_(new_earth),secret identity,bad characters,brown eyes,brown hair,female characters,,living characters,1,1992,1992,
dawlakispokpok, (new earth),\/wiki\/dawlakispokpok_(new_earth),public identity,bad characters,blue eyes,white hair,male characters,,deceased characters,1,1992,1992,
five of diamonds i, (new earth),\/wiki\/five_of_diamonds_i_(new_earth),,bad characters,,,male characters,,living characters,1,"1992, april",1992,
four of spades ii, (new earth),\/wiki\/four_of_spades_ii_(new_earth),,bad characters,,,male characters,,living characters,1,"1992, april",1992,
jon kennedy payne, (new earth),\/wiki\/jon_kennedy_payne_(new_earth),public identity,bad characters,blue eyes,blond hair,male characters,,deceased characters,1,"1992, november",1992,
martian womanhunter, (new earth),\/wiki\/martian_womanhunter_(new_earth),public identity,neutral characters,,,male characters,,living characters,1,"1992, september",1992,
nicodemus, (new earth),\/wiki\/nicodemus_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,1,"1992, july",1992,
norman the doorman, (new earth),\/wiki\/norman_the_doorman_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,1,"1992, september",1992,
pharamond, (new earth),\/wiki\/pharamond_(new_earth),secret identity,,brown eyes,brown hair,,,living characters,1,"1992, november",1992,
phyllis baker, (new earth),\/wiki\/phyllis_baker_(new_earth),public identity,good characters,,strawberry blond hair,female characters,,living characters,1,"1992, april",1992,
rook, (new earth),\/wiki\/rook_(new_earth),secret identity,bad characters,blue eyes,,female characters,,living characters,1,"1992, september",1992,
rott, (new earth),\/wiki\/rott_(new_earth),public identity,bad characters,red eyes,,male characters,,living characters,1,"1992, april",1992,
sonarr, (new earth),\/wiki\/sonarr_(new_earth),secret identity,good characters,,red hair,male characters,,living characters,1,"1992, september",1992,
stanislaus johns, (new earth),\/wiki\/stanislaus_johns_(new_earth),,bad characters,blue eyes,white hair,male characters,,living characters,1,"1992, april",1992,
stinkbug, (new earth),\/wiki\/stinkbug_(new_earth),secret identity,good characters,,,male characters,,living characters,1,"1992, september",1992,
three of hearts i, (new earth),\/wiki\/three_of_hearts_i_(new_earth),,bad characters,,,male characters,,living characters,1,"1992, april",1992,
three of spades ii, (new earth),\/wiki\/three_of_spades_ii_(new_earth),,bad characters,,,male characters,,living characters,1,"1992, april",1992,
thwarcharchura, (new earth),\/wiki\/thwarcharchura_(new_earth),public identity,bad characters,brown eyes,brown hair,female characters,,living characters,1,1992,1992,
zifor, (new earth),\/wiki\/zifor_(new_earth),public identity,good characters,,white hair,male characters,,deceased characters,1,"1992, december",1992,
agogg, (new earth),\/wiki\/agogg_(new_earth),public identity,bad characters,,brown hair,male characters,,deceased characters,1,"1991, february",1991,
amaya, (new earth),\/wiki\/amaya_(new_earth),,bad characters,blue eyes,black hair,female characters,,deceased characters,1,"1991, september",1991,
angst, (new earth),\/wiki\/angst_(new_earth),public identity,bad characters,red eyes,black hair,male characters,,living characters,1,"1991, october",1991,
big breeda, (new earth),\/wiki\/big_breeda_(new_earth),,good characters,,red hair,female characters,,living characters,1,"1991, june",1991,
boris dhumov, (new earth),\/wiki\/boris_dhumov_(new_earth),,bad characters,,,male characters,,living characters,1,"1991, june",1991,
caesar lopez, (new earth),\/wiki\/caesar_lopez_(new_earth),,bad characters,,black hair,male characters,,living characters,1,"1991, december",1991,
ceres, (new earth),\/wiki\/ceres_(new_earth),,good characters,,,female characters,,living characters,1,"1991, september",1991,
cursor, (new earth),\/wiki\/cursor_(new_earth),secret identity,bad characters,brown eyes,black hair,female characters,,living characters,1,"1991, april",1991,
database, (new earth),\/wiki\/database_(new_earth),,bad characters,,,male characters,,living characters,1,"1991, april",1991,
desdemona, (new earth),\/wiki\/desdemona_(new_earth),public identity,good characters,green eyes,,female characters,,living characters,1,"1991, january",1991,
electrocutioner ii, (new earth),\/wiki\/electrocutioner_ii_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1991, february",1991,
huitzilopochtli, (new earth),\/wiki\/huitzilopochtli_(new_earth),public identity,neutral characters,black eyes,,male characters,,living characters,1,"1991, october",1991,
jasmine, (new earth),\/wiki\/jasmine_(new_earth),,,brown eyes,brown hair,female characters,,living characters,1,"1991, may",1991,
julie crystal, (new earth),\/wiki\/julie_crystal_(new_earth),,bad characters,blue eyes,blond hair,female characters,,living characters,1,1991,1991,
julius barrow, (new earth),\/wiki\/julius_barrow_(new_earth),public identity,bad characters,brown eyes,black hair,male characters,,living characters,1,"1991, may",1991,
lyana, (new earth),\/wiki\/lyana_(new_earth),,bad characters,brown eyes,black hair,female characters,,living characters,1,"1991, september",1991,
mainframe, (new earth),\/wiki\/mainframe_(new_earth),secret identity,bad characters,,blond hair,male characters,,living characters,1,"1991, april",1991,
marita, (new earth),\/wiki\/marita_(new_earth),,bad characters,brown eyes,black hair,female characters,,living characters,1,"1991, september",1991,
meda, (new earth),\/wiki\/meda_(new_earth),,good characters,,,female characters,,living characters,1,"1991, november",1991,
paradox, (new earth),\/wiki\/paradox_(new_earth),,bad characters,red eyes,white hair,male characters,,living characters,1,1991,1991,
priscilla stryker, (new earth),\/wiki\/priscilla_stryker_(new_earth),,bad characters,blue eyes,blond hair,female characters,,living characters,1,"1991, march",1991,
procne, (new earth),\/wiki\/procne_(new_earth),,,,,female characters,,living characters,1,"1991, december",1991,
professor powder, (new earth),\/wiki\/professor_powder_(new_earth),public identity,bad characters,,white hair,male characters,,living characters,1,"1991, september",1991,
queen of hearts i, (new earth),\/wiki\/queen_of_hearts_i_(new_earth),,bad characters,,,female characters,,living characters,1,"1991, december",1991,
ricochet i, (new earth),\/wiki\/ricochet_i_(new_earth),,bad characters,,black hair,male characters,,living characters,1,1991,1991,
saul calvino, (new earth),\/wiki\/saul_calvino_(new_earth),,bad characters,,,male characters,,living characters,1,"1991, june",1991,
shadowy mister evans, (new earth),\/wiki\/shadowy_mister_evans_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1991, september",1991,
shalir, (new earth),\/wiki\/shalir_(new_earth),,bad characters,brown eyes,brown hair,female characters,,living characters,1,"1991, september",1991,
sigyn, (new earth),\/wiki\/sigyn_(new_earth),,neutral characters,white eyes,white hair,male characters,,living characters,1,"1991, march",1991,
temptress, (new earth),\/wiki\/temptress_(new_earth),,bad characters,,,female characters,,living characters,1,"1991, june",1991,
turbeau, (new earth),\/wiki\/turbeau_(new_earth),public identity,bad characters,,blond hair,male characters,,living characters,1,"1991, august",1991,
virtual, (new earth),\/wiki\/virtual_(new_earth),,bad characters,,black hair,female characters,,living characters,1,"1991, april",1991,
